x,y,Mean1,Mean2,Diff,,,,,
88.75,26.75,2242.154325,2157.880035,84.27429003,,,,,
89,26.75,2249.543609,2179.134479,70.4091296,,,,,
89.25,26.75,2256.932893,2200.388923,56.54396916,,,,,
89.5,26.75,2216.370038,2163.604483,52.76555437,,,,,
89.75,26.75,2175.807183,2126.820043,48.98713959,,,,,
90,26.75,2107.380752,2066.07115,41.30960198,,,,,
90.25,26.75,2038.954321,2005.322257,33.63206437,,,,,
90.5,26.75,2004.00575,1967.655594,36.35015608,,,,,
90.75,26.75,1969.057178,1929.988931,39.0682478,,,,,
91,26.75,1908.242892,1869.982256,38.26063539,,,,,
91.25,26.75,1847.428605,1809.975582,37.45302298,,,,,
91.5,26.75,1804.866459,1765.662251,39.20420813,,,,,
91.75,26.75,1762.304312,1721.348919,40.95539328,,,,,
92,26.75,1696.032883,1650.557805,45.47507815,,,,,
92.25,26.75,1629.761454,1579.766691,49.99476303,,,,,
92.5,26.75,1591.802169,1538.356692,53.44547706,,,,,
92.75,26.75,1553.842884,1496.946693,56.89619109,,,,,
93,26.75,1547.977169,1486.054471,61.92269831,,,,,
93.25,26.75,1542.111454,1475.162248,66.94920553,,,,,
93.5,26.75,1543.021454,1472.588915,70.43253928,,,,,
93.75,26.75,1543.931454,1470.015581,73.91587302,,,,,
94,26.75,1557.30217,1478.821137,78.48103357,,,,,
94.25,26.75,1570.672886,1487.626692,83.04619411,,,,,
94.5,26.75,1573.142884,1486.657804,86.48508008,,,,,
94.75,26.75,1575.612883,1485.688917,89.92396605,,,,,
95,26.75,1482.01788,1398.521136,83.49674471,,,,,
95.25,26.75,1388.422878,1311.353355,77.06952336,,,,,
95.5,26.75,1381.805735,1304.781132,77.02460295,,,,,
88,27,1891.384675,1777.414476,113.9701994,,,,,
88.25,27,1929.002177,1830.21781,98.78436636,,,,,
88.5,27,1997.928964,1907.239476,90.68948732,,,,,
88.75,27,2066.855751,1984.261143,82.59460827,,,,,
89,27,2011.166106,1942.406699,68.75940772,,,,,
92,27,1633.503597,1594.367248,39.13634862,,,,,
92.25,27,1564.861453,1522.58669,42.27476232,,,,,
92.5,27,1555.270739,1508.354468,46.91627092,,,,,
92.75,27,1545.680026,1494.122247,51.55777952,,,,,
93,27,1527.11074,1470.615024,56.49571621,,,,,
93.25,27,1508.541454,1447.107801,61.43365289,,,,,
93.5,27,1509.995383,1444.028357,65.96702577,,,,,
93.75,27,1511.449311,1440.948913,70.50039865,,,,,
94,27,1535.931813,1459.336135,76.59567761,,,,,
94.25,27,1560.414315,1477.723358,82.69095657,,,,,
94.5,27,1571.463599,1483.991137,87.4724619,,,,,
94.75,27,1582.512883,1490.258915,92.25396724,,,,,
95,27,1528.175381,1437.723359,90.4520228,,,,,
95.25,27,1473.83788,1385.187802,88.65007836,,,,,
95.5,27,1449.987167,1363.703356,86.28381107,,,,,
95.75,27,1426.136454,1342.21891,83.91754379,,,,,
96,27,1435.057167,1349.7678,85.28936783,,,,,
88,27.25,1863.727892,1752.915588,110.8123042,,,,,
88.25,27.25,1820.332892,1728.806698,91.52619426,,,,,
88.5,27.25,1855.945035,1769.724474,86.22056039,,,,,
88.75,27.25,1891.557177,1810.64225,80.91492651,,,,,
92,27.25,1570.974311,1538.176692,32.79761908,,,,,
92.25,27.25,1499.961451,1465.40669,34.55476161,,,,,
92.5,27.25,1518.73931,1478.352245,40.38706478,,,,,
92.75,27.25,1537.517168,1491.2978,46.21936795,,,,,
93,27.25,1506.244311,1455.175577,51.0687341,,,,,
93.25,27.25,1474.971455,1419.053355,55.91810026,,,,,
93.5,27.25,1476.969312,1415.467799,61.50151227,,,,,
