"","V1","V2","V3"
"1",1944.12142857143,1950.07613636364,-5.95470779220796
"2",1128.8625,1134.30511363636,-5.44261363636383
"3",1432.45785714286,1465.59659090909,-33.1387337662338
"4",2058.04392857143,1950.52272727273,107.521201298701
"5",1513.55142857143,1392.30397727273,121.247451298701
"6",879.599642857143,895.764204545455,-16.1645616883117
"7",1345.7425,1389.64147727273,-43.8989772727273
"8",2351.97071428571,2309.64147727273,42.3292370129871
"9",1098.99321428571,1066.11193181818,32.8812824675324
"10",894.064642857143,920.090909090909,-26.0262662337663
"11",1146.98142857143,1199.71193181818,-52.7305032467532
"12",2282.08321428571,2196.3875,85.6957142857141
"13",1689.27714285714,1590.03409090909,99.2430519480517
"14",803.355,813.743181818182,-10.3881818181817
"15",916.896071428571,946.372159090909,-29.4760876623377
"16",1205.28821428571,1258.84375,-53.5555357142857
"17",2844.25785714286,2767.54545454545,76.7124025974026
"18",1196.67178571429,1184.77329545455,11.8984902597401
"19",819.472857142857,842.738068181818,-23.265211038961
"20",895.020714285714,939.006818181818,-43.9861038961041
"21",1135.30964285714,1170.05340909091,-34.7437662337661
"22",1212.89428571429,1241.29090909091,-28.3966233766232
"23",2798.35,2945.20340909091,-146.853409090909
"24",1476.91571428571,1403.72443181818,73.1912824675326
"25",731.101428571429,725.355681818182,5.74574675324664
"26",731.610357142857,802.739204545455,-71.1288474025974
"27",692.816785714286,793.888636363636,-101.071850649351
"28",973.947857142857,1017.07272727273,-43.12487012987
"29",1110.42857142857,1146.84772727273,-36.419155844156
"30",2223.64392857143,2209.43409090909,14.2098376623376
"31",1013.24535714286,963.896022727273,49.3493344155844
"32",587.903214285714,591.239204545455,-3.33599025974024
"33",557.459285714286,583.071590909091,-25.6123051948051
"34",645.347857142857,707.748295454545,-62.4004383116883
"35",865.452857142857,926.438636363636,-60.9857792207794
"36",968.164285714286,1003.25340909091,-35.0891233766234
"37",2393.16,2571.91818181818,-178.758181818182
"38",1815.97642857143,1596.27443181818,219.701996753247
"39",738.226071428571,690.090909090909,48.1351623376622
"40",539.200714285714,551.330681818182,-12.1299675324675
"41",556.383214285714,594.25625,-37.8730357142858
"42",622.022142857143,697.992045454546,-75.9699025974027
"43",745.884642857143,832.309090909091,-86.4244480519479
"44",974.331785714286,1028.50852272727,-54.1767370129869
"45",1995.85571428571,2173.49034090909,-177.634626623377
"46",1104.04607142857,1038.37215909091,65.6739123376626
"47",637.780357142857,683.511363636364,-45.7310064935065
"48",618.74,685.947159090909,-67.207159090909
"49",742.9375,810.135795454545,-67.1982954545455
"50",717.386428571429,792.135227272727,-74.7487987012986
"51",773.399642857143,848.188068181818,-74.7884253246755
"52",902.737142857143,986.040909090909,-83.3037662337663
"53",1089.03642857143,1124.00227272727,-34.965844155844
"54",1172.50357142857,1235.85681818182,-63.3532467532468
"55",1791.79464285714,1963.93011363636,-172.135470779221
"56",786.136071428571,821.539204545454,-35.4031331168831
"57",659.148214285714,717.017045454545,-57.8688311688312
"58",742.399642857143,817.880113636364,-75.4804707792208
"59",858.678214285714,912.589772727273,-53.9115584415584
"60",821.534285714286,877.952272727273,-56.4179870129871
"61",866.908214285714,921.502272727273,-54.5940584415584
"62",995.175714285714,1076.91477272727,-81.7390584415584
"63",1101.60321428571,1125.55738636364,-23.9541720779221
"64",1161.31821428571,1202.25681818182,-40.938603896104
"65",1731.57928571429,1869.07272727273,-137.493441558441
"66",1311.40785714286,1455.02102272727,-143.613165584416
"67",708.0675,733.664204545454,-25.5967045454545
"68",709.209642857143,737.005113636364,-27.7954707792208
"69",856.518571428571,889.669886363636,-33.1513149350649
"70",982.376071428571,1006.79147727273,-24.4154058441558
"71",953.387857142857,1060.42556818182,-107.037711038961
"72",966.076428571429,1008.33125,-42.2548214285713
"73",1129.78321428571,1135.13977272727,-5.35655844155849
"74",1281.67214285714,1261.12102272727,20.5511201298702
"75",1304.15535714286,1287.05511363636,17.1002435064934
"76",1079.84642857143,1071.72670454545,8.11972402597394
"77",1423.33571428571,1426.21875,-2.88303571428582
"78",1964.43285714286,2144.30681818182,-179.873961038961
"79",1339.02678571429,1388.01590909091,-48.9891233766232
"80",675.4825,690.751136363636,-15.2686363636362
"81",739.863928571429,752.990340909091,-13.1264123376623
"82",835.677857142857,865.988068181818,-30.310211038961
"83",944.065,937.310795454546,6.75420454545451
"84",1031.78678571429,1057.72102272727,-25.9342370129868
"85",1055.90321428571,1065.56022727273,-9.6570129870131
"86",1216.25,1174.38238636364,41.8676136363638
"87",1352.765,1268.70170454545,84.0632954545456
"88",1391.85285714286,1312.13863636364,79.7142207792208
"89",1223.89214285714,1177.49034090909,46.4018019480518
"90",1189.49214285714,1168.89545454545,20.5966883116882
"91",1354.26142857143,1357.63125,-3.36982142857141
"92",712.932857142857,927.738636363636,-214.805779220779
"93",919.412142857143,1071.37386363636,-151.961720779221
"94",1482.30142857143,1535.31590909091,-53.0144805194802
"95",1474.23178571429,1551.2125,-76.9807142857144
"96",807.258571428571,846.774431818182,-39.5158603896103
"97",726.456071428571,726.171590909091,0.284480519480553
"98",817.431071428571,793.297159090909,24.1339123376624
"99",868.342857142857,857.542045454545,10.8008116883117
"100",1092.10964285714,1056.71704545455,35.3925974025974
"101",1247.93964285714,1188.35738636364,59.5822564935065
"102",1274.11071428571,1185.82443181818,88.2862824675324
"103",1271.22821428571,1174.17386363636,97.0543506493507
"104",1320.41464285714,1218.22613636364,102.188506493507
"105",1289.91857142857,1213.62954545455,76.2890259740261
"106",1302.22785714286,1263.24090909091,38.986948051948
