x,y,Mean1,Mean2,Diff,,,,,,,,
85.5,19.5,1354.261429,1357.63125,-3.369821429,,,,,,,,
70.5,20.5,712.9328571,927.7386364,-214.8057792,,,,,,,,
71.5,20.5,919.4121429,1071.373864,-151.9617208,,,,,,,,
72.5,20.5,1482.301429,1535.315909,-53.01448052,,,,,,,,
73.5,20.5,1474.231786,1551.2125,-76.98071429,,,,,,,,
74.5,20.5,807.2585714,846.7744318,-39.51586039,,,,,,,,
75.5,20.5,726.4560714,726.1715909,0.284480519,,,,,,,,
76.5,20.5,817.4310714,793.2971591,24.13391234,,,,,,,,
77.5,20.5,868.3428571,857.5420455,10.80081169,,,,,,,,
78.5,20.5,1092.109643,1056.717045,35.3925974,,,,,,,,
79.5,20.5,1247.939643,1188.357386,59.58225649,,,,,,,,
80.5,20.5,1274.110714,1185.824432,88.28628247,,,,,,,,
81.5,20.5,1271.228214,1174.173864,97.05435065,,,,,,,,
82.5,20.5,1320.414643,1218.226136,102.1885065,,,,,,,,
83.5,20.5,1289.918571,1213.629545,76.28902597,,,,,,,,
84.5,20.5,1302.227857,1263.240909,38.98694805,,,,,,,,
85.5,20.5,1366.915357,1368.305114,-1.389756494,,,,,,,,
86.5,20.5,1586.529286,1589.217045,-2.68775974,,,,,,,,
69.5,21.5,589.3778571,689.8875,-100.5096429,,,,,,,,
70.5,21.5,561.2953571,680.0465909,-118.7512338,,,,,,,,
71.5,21.5,653.0985714,690.90625,-37.80767857,,,,,,,,
72.5,21.5,846.5871429,920.0982955,-73.5111526,,,,,,,,
73.5,21.5,1167.036429,1209.822159,-42.78573052,,,,,,,,
74.5,21.5,831.0142857,835.2164773,-4.202191558,,,,,,,,
75.5,21.5,708.775,716.0744318,-7.299431818,,,,,,,,
76.5,21.5,845.8825,846.9835227,-1.101022727,,,,,,,,
77.5,21.5,959.1764286,975.1664773,-15.9900487,,,,,,,,
78.5,21.5,1116.994286,1094.676705,22.31758117,,,,,,,,
79.5,21.5,1326.938571,1246.828409,80.11016234,,,,,,,,
80.5,21.5,1426.505,1315.765341,110.7396591,,,,,,,,
81.5,21.5,1273.994286,1165.273295,108.7209903,,,,,,,,
82.5,21.5,1377.950714,1250.903409,127.0473052,,,,,,,,
83.5,21.5,1486.121071,1358.55625,127.5648214,,,,,,,,
84.5,21.5,1394.382143,1323.382955,70.99918831,,,,,,,,
85.5,21.5,1308.4525,1281.936364,26.51613636,,,,,,,,
86.5,21.5,1506.301786,1513.752273,-7.450487013,,,,,,,,
87.5,21.5,1699.264643,1797.223864,-97.95922078,,,,,,,,
88.5,21.5,1826.240714,1920.559091,-94.31837662,,,,,,,,
69.5,22.5,490.6971429,541.4852273,-50.78808442,,,,,,,,
70.5,22.5,532.0453571,604.2778409,-72.23248377,,,,,,,,
71.5,22.5,531.6046429,570.7857955,-39.1811526,,,,,,,,
72.5,22.5,710.6771429,716.7414773,-6.064334416,,,,,,,,
73.5,22.5,934.8121429,907.8659091,26.94623377,,,,,,,,
74.5,22.5,836.9485714,804.3829545,32.56561688,,,,,,,,
75.5,22.5,882.5164286,891.8977273,-9.381298701,,,,,,,,
76.5,22.5,1009.561429,1026.352273,-16.79084416,,,,,,,,
77.5,22.5,1164.585714,1177.061364,-12.47564935,,,,,,,,
78.5,22.5,1162.436786,1183.680114,-21.24332792,,,,,,,,
79.5,22.5,1294.276786,1238.89375,55.38303571,,,,,,,,
80.5,22.5,1381.160714,1277.830682,103.3300325,,,,,,,,
81.5,22.5,1247.121071,1130.832386,116.2886851,,,,,,,,
82.5,22.5,1346.660357,1211.567045,135.0933117,,,,,,,,
83.5,22.5,1444.020357,1298.159091,145.8612662,,,,,,,,
84.5,22.5,1358.7375,1258.70625,100.03125,,,,,,,,
85.5,22.5,1294.235714,1224.432386,69.80332792,,,,,,,,
86.5,22.5,1471.992143,1405.309659,66.68248377,,,,,,,,
87.5,22.5,1493.912143,1549.5875,-55.67535714,,,,,,,,
88.5,22.5,1567.860357,1703.207386,-135.3470292,,,,,,,,
92.5,22.5,2841.917143,2807.851136,34.06600649,,,,,,,,
68.5,23.5,310.5425,295.2022727,15.34022727,,,,,,,,
69.5,23.5,298.1025,314.6130682,-16.51056818,,,,,,,,
70.5,23.5,396.2864286,418.4505682,-22.16413961,,,,,,,,
71.5,23.5,501.7671429,502.9471591,-1.180016234,,,,,,,,
72.5,23.5,726.3657143,722.0090909,4.356623377,,,,,,,,
73.5,23.5,906.9471429,855.04375,51.90339286,,,,,,,,
74.5,23.5,982.4646429,925.8045455,56.6600974,,,,,,,,
75.5,23.5,978.2371429,924.88125,53.35589286,,,,,,,,
76.5,23.5,904.6403571,866.0670455,38.57331169,,,,,,,,
77.5,23.5,1103.602857,1075.819318,27.78353896,,,,,,,,
78.5,23.5,1221.085357,1192.1375,28.94785714,,,,,,,,
79.5,23.5,1244.277857,1183.208523,61.06933442,,,,,,,,
80.5,23.5,1203.852143,1118.310227,85.54191558,,,,,,,,
81.5,23.5,1127.019643,1026.790341,100.2293019,,,,,,,,
82.5,23.5,1221.505357,1095.638636,125.8667208,,,,,,,,
83.5,23.5,1279.011071,1139.740909,139.2701623,,,,,,,,
84.5,23.5,1284.442143,1166.628977,117.8131656,,,,,,,,
85.5,23.5,1387.394286,1274.502273,112.892013,,,,,,,,
86.5,23.5,1383.266071,1272.136364,111.1297078,,,,,,,,
87.5,23.5,1412.096786,1357.796591,54.30019481,,,,,,,,
88.5,23.5,1423.877143,1431.66875,-7.791607143,,,,,,,,
91.5,23.5,2640.341786,2492.781818,147.5599675,,,,,,,,
92.5,23.5,2926.174286,2854.332386,71.84189935,,,,,,,,
93.5,23.5,2676.55,2605.851705,70.69829545,,,,,,,,
68.5,24.5,218.9139286,202.7255682,16.18836039,,,,,,,,
69.5,24.5,246.6675,246.7573864,-0.089886364,,,,,,,,
70.5,24.5,295.2182143,299.2448864,-4.026672078,,,,,,,,
71.5,24.5,398.5042857,411.8443182,-13.34003247,,,,,,,,
72.5,24.5,599.0842857,592.6278409,6.456444805,,,,,,,,
73.5,24.5,681.2807143,637.6585227,43.62219156,,,,,,,,
74.5,24.5,836.5010714,785.925,50.57607143,,,,,,,,
75.5,24.5,880.3032143,828.2164773,52.08673701,,,,,,,,
76.5,24.5,858.8514286,807.2039773,51.6474513,,,,,,,,
77.5,24.5,1034.132143,973.5642045,60.56793831,,,,,,,,
78.5,24.5,1130.141786,1076.046591,54.09519481,,,,,,,,
79.5,24.5,1169.784286,1098.961364,70.82292208,,,,,,,,
80.5,24.5,1149.066071,1059.055682,90.01038961,,,,,,,,
81.5,24.5,1104.984643,1007.263636,97.72100649,,,,,,,,
82.5,24.5,1095.083929,983.9772727,111.1066558,,,,,,,,
83.5,24.5,1095.236071,982.4477273,112.7883442,,,,,,,,
84.5,24.5,1128.926786,1022.334091,106.5926948,,,,,,,,
85.5,24.5,1188.052143,1078.721591,109.3305519,,,,,,,,
86.5,24.5,1264.386429,1138.519886,125.8665422,,,,,,,,
87.5,24.5,1415.732143,1287.952273,127.7798701,,,,,,,,
88.5,24.5,1573.695357,1506.944886,66.75047078,,,,,,,,
91.5,24.5,3146.491786,3050.051705,96.44008117,,,,,,,,
92.5,24.5,3297.758929,3217.303409,80.45551948,,,,,,,,
93.5,24.5,2329.911071,2266.802841,63.10823052,,,,,,,,
94.5,24.5,1829.385,1757.302841,72.08215909,,,,,,,,
70.5,25.5,221.11,225.0357955,-3.925795455,,,,,,,,
71.5,25.5,279.4246429,296.2335227,-16.80887987,,,,,,,,
72.5,25.5,384.6614286,407.3573864,-22.69595779,,,,,,,,
73.5,25.5,498.5425,499.5431818,-1.000681818,,,,,,,,
74.5,25.5,611.2960714,600.3306818,10.96538961,,,,,,,,
75.5,25.5,738.3575,709.8971591,28.46034091,,,,,,,,
76.5,25.5,864.9071429,814.3914773,50.51566558,,,,,,,,
77.5,25.5,934.785,883.0477273,51.73727273,,,,,,,,
78.5,25.5,946.3725,902.4159091,43.95659091,,,,,,,,
79.5,25.5,981.0682143,920.7875,60.28071429,,,,,,,,
80.5,25.5,999.2317857,921.5954545,77.63633117,,,,,,,,
81.5,25.5,991.7203571,898.0028409,93.71751623,,,,,,,,
82.5,25.5,994.7628571,907.0232955,87.73956169,,,,,,,,
83.5,25.5,1020.178214,943.6119318,76.56628247,,,,,,,,
84.5,25.5,1067.538929,1012.892614,54.64631494,,,,,,,,
85.5,25.5,1141.149643,1069.036364,72.11327922,,,,,,,,
86.5,25.5,1285.570714,1139.575,145.9957143,,,,,,,,
87.5,25.5,1552.806429,1455.836932,96.96949675,,,,,,,,
88.5,25.5,1902.495714,1857.170455,45.32525974,,,,,,,,
90.5,25.5,3056.441071,3073.186932,-16.74586039,,,,,,,,
91.5,25.5,4370.878571,4291.109659,79.76891234,,,,,,,,
92.5,25.5,3424.659286,3339.247727,85.41155844,,,,,,,,
93.5,25.5,2203.63,2127.371591,76.25840909,,,,,,,,
94.5,25.5,1934.2825,1840.441477,93.84102273,,,,,,,,
70.5,26.5,180.6007143,183.0511364,-2.450422078,,,,,,,,
71.5,26.5,227.4446429,234.4443182,-6.999675325,,,,,,,,
72.5,26.5,296.1078571,318.9914773,-22.88362013,,,,,,,,
73.5,26.5,384.6307143,418.0227273,-33.39201299,,,,,,,,
74.5,26.5,506.4039286,539.7136364,-33.30970779,,,,,,,,
75.5,26.5,624.9221429,641.0107955,-16.0886526,,,,,,,,
76.5,26.5,742.0678571,729.8454545,12.2224026,,,,,,,,
77.5,26.5,787.9728571,755.6994318,32.27342532,,,,,,,,
78.5,26.5,800.4975,771.7585227,28.73897727,,,,,,,,
79.5,26.5,852.5853571,801.6653409,50.92001623,,,,,,,,
80.5,26.5,924.8414286,834.8267045,90.01472403,,,,,,,,
81.5,26.5,1022.664286,905.9505682,116.7137175,,,,,,,,
82.5,26.5,1124.632857,1045.047727,79.58512987,,,,,,,,
83.5,26.5,1266.058214,1204.794886,61.26332792,,,,,,,,
84.5,26.5,1435.422857,1354.254545,81.16831169,,,,,,,,
85.5,26.5,1499.374286,1361.263068,138.1112175,,,,,,,,
86.5,26.5,1504.514643,1395.471591,109.0430519,,,,,,,,
87.5,26.5,1823.42,1803.965341,19.45465909,,,,,,,,
88.5,26.5,2400.082143,2407.022159,-6.940016234,,,,,,,,
89.5,26.5,2634.359286,2682.778409,-48.41912338,,,,,,,,
90.5,26.5,2513.199643,2584.817045,-71.6174026,,,,,,,,
91.5,26.5,2304.178214,2373.213636,-69.03542208,,,,,,,,
92.5,26.5,2190.1075,2166.088068,24.01943182,,,,,,,,
93.5,26.5,2152.464643,2065.759659,86.70498377,,,,,,,,
94.5,26.5,2129.76,2015.153409,114.6065909,,,,,,,,
95.5,26.5,1877.041429,1768.054545,108.9868831,,,,,,,,
69.5,27.5,123.4946429,127.8886364,-4.393993506,,,,,,,,
70.5,27.5,153.2417857,162.5539773,-9.312191558,,,,,,,,
71.5,27.5,193.1557143,203.8125,-10.65678571,,,,,,,,
72.5,27.5,247.88,264.1704545,-16.29045455,,,,,,,,
73.5,27.5,318.2753571,347.3306818,-29.05532468,,,,,,,,
74.5,27.5,416.5335714,445.2278409,-28.69426948,,,,,,,,
75.5,27.5,513.9514286,545.9215909,-31.97016234,,,,,,,,
76.5,27.5,611.825,644.0215909,-32.19659091,,,,,,,,
77.5,27.5,684.3917857,694.8176136,-10.42582792,,,,,,,,
78.5,27.5,783.3260714,753.3147727,30.0112987,,,,,,,,
79.5,27.5,927.8103571,837.7017045,90.1086526,,,,,,,,
80.5,27.5,1131.5225,959.4960227,172.0264773,,,,,,,,
81.5,27.5,1275.237857,1111.515341,163.7225162,,,,,,,,
82.5,27.5,1488.134286,1384.160227,103.9740584,,,,,,,,
83.5,27.5,1863.320714,1756.260227,107.060487,,,,,,,,
84.5,27.5,2204.136786,2074.088068,130.0487175,,,,,,,,
88.5,27.5,1678.736071,1682.629545,-3.893474026,,,,,,,,
89.5,27.5,1612.776786,1654.249432,-41.4726461,,,,,,,,
90.5,27.5,1878.009286,1943.049432,-65.0401461,,,,,,,,
91.5,27.5,1852.822857,1912.123295,-59.30043831,,,,,,,,
92.5,27.5,1635.831786,1641.385227,-5.553441558,,,,,,,,
93.5,27.5,1856.768929,1814.294886,42.47404221,,,,,,,,
94.5,27.5,2090.308214,1982.69375,107.6144643,,,,,,,,
95.5,27.5,2060.2875,1940.155114,120.1323864,,,,,,,,
96.5,27.5,1631.324286,1550.625568,80.69871753,,,,,,,,
97.5,27.5,1455.188214,1393.328977,61.85923701,,,,,,,,
70.5,28.5,132.6564286,145.5255682,-12.86913961,,,,,,,,
71.5,28.5,160.5896429,177.08125,-16.49160714,,,,,,,,
72.5,28.5,207.1207143,230.1727273,-23.05201299,,,,,,,,
73.5,28.5,266.0782143,295.6738636,-29.59564935,,,,,,,,
74.5,28.5,337.4257143,367.46875,-30.04303571,,,,,,,,
75.5,28.5,416.9292857,457.6630682,-40.73378247,,,,,,,,
76.5,28.5,539.1414286,598.4011364,-59.25970779,,,,,,,,
77.5,28.5,704.9646429,759.0289773,-54.06433442,,,,,,,,
78.5,28.5,898.6975,862.2971591,36.40034091,,,,,,,,
79.5,28.5,1195.905714,1042.855682,153.0500325,,,,,,,,
80.5,28.5,1508.773571,1232.461364,276.3122078,,,,,,,,
81.5,28.5,1549.689286,1333.666477,216.0228084,,,,,,,,
88.5,28.5,1046.292143,1047.131818,-0.839675325,,,,,,,,
91.5,28.5,925.4985714,942.1886364,-16.69006494,,,,,,,,
92.5,28.5,870.1971429,861.4232955,8.773847403,,,,,,,,
93.5,28.5,1096.924643,1072.719318,24.20532468,,,,,,,,
94.5,28.5,1414.6,1368.340341,46.25965909,,,,,,,,
95.5,28.5,1397.781429,1335.447159,62.33426948,,,,,,,,
96.5,28.5,1067.551786,1023.334659,44.21712662,,,,,,,,
97.5,28.5,873.8010714,840.9352273,32.86584416,,,,,,,,
72.5,29.5,193.2535714,223.8590909,-30.60551948,,,,,,,,
73.5,29.5,242.1246429,285.5357955,-43.4111526,,,,,,,,
74.5,29.5,332.3896429,360.9948864,-28.60524351,,,,,,,,
75.5,29.5,433.8407143,465.9971591,-32.15644481,,,,,,,,
76.5,29.5,598.3878571,642.5318182,-44.14396104,,,,,,,,
77.5,29.5,881.0928571,836.3181818,44.77467532,,,,,,,,
78.5,29.5,1082.211429,975.7056818,106.5057468,,,,,,,,
79.5,29.5,1296.642857,1118.852273,177.7905844,,,,,,,,
80.5,29.5,1319.890357,1155.780682,164.1096753,,,,,,,,
94.5,29.5,731.3242857,725.8823864,5.441899351,,,,,,,,
95.5,29.5,839.8860714,822.1926136,17.69345779,,,,,,,,
96.5,29.5,683.6489286,662.8568182,20.79211039,,,,,,,,
73.5,30.5,294.4675,365.6982955,-71.23079545,,,,,,,,
74.5,30.5,395.2010714,461.3289773,-66.12790584,,,,,,,,
75.5,30.5,551.5403571,581.6295455,-30.08918831,,,,,,,,
76.5,30.5,805.8303571,762.7602273,43.07012987,,,,,,,,
77.5,30.5,1115.032143,928.0034091,187.0287338,,,,,,,,
78.5,30.5,1123.477143,945.0875,178.3896429,,,,,,,,
79.5,30.5,871.7964286,768.5840909,103.2123377,,,,,,,,
80.5,30.5,644.4992857,603.8414773,40.65780844,,,,,,,,
74.5,31.5,543.7092857,669.2005682,-125.4912825,,,,,,,,
75.5,31.5,754.8414286,783.7204545,-28.87902597,,,,,,,,
76.5,31.5,1016.733929,899.4721591,117.2617695,,,,,,,,
77.5,31.5,1010.38,852.5363636,157.8436364,,,,,,,,
78.5,31.5,854.0125,740.9670455,113.0454545,,,,,,,,
79.5,31.5,580.6121429,519.8568182,60.75532468,,,,,,,,
74.5,32.5,774.3417857,878.9181818,-104.5763961,,,,,,,,
75.5,32.5,880.9446429,896.6085227,-15.66387987,,,,,,,,
76.5,32.5,777.5382143,724.1784091,53.35980519,,,,,,,,
77.5,32.5,544.4685714,505.5255682,38.94300325,,,,,,,,
78.5,32.5,416.5714286,381.9335227,34.63790584,,,,,,,,
79.5,32.5,328.1842857,299.85625,28.32803571,,,,,,,,
73.5,33.5,937.3471429,1095.267614,-157.9204708,,,,,,,,
74.5,33.5,852.4746429,929.9931818,-77.51853896,,,,,,,,
75.5,33.5,718.0971429,741.6477273,-23.55058442,,,,,,,,
76.5,33.5,469.0871429,487.2164773,-18.12933442,,,,,,,,
77.5,33.5,336.9075,341.3278409,-4.420340909,,,,,,,,
78.5,33.5,254.3189286,249.3630682,4.95586039,,,,,,,,
79.5,33.5,208.7667857,200.1875,8.579285714,,,,,,,,
73.5,34.5,878.9160714,987.2636364,-108.3475649,,,,,,,,
74.5,34.5,666.0607143,719.5465909,-53.48587662,,,,,,,,
75.5,34.5,434.7364286,492.9960227,-58.25959416,,,,,,,,
76.5,34.5,304.2110714,348.0676136,-43.85654221,,,,,,,,
77.5,34.5,205.9675,226.3869318,-20.41943182,,,,,,,,
78.5,34.5,148.3671429,157.1176136,-8.750470779,,,,,,,,
79.5,34.5,126.2735714,128.3698864,-2.096314935,,,,,,,,
73.5,35.5,514.4975,591.4897727,-76.99227273,,,,,,,,
74.5,35.5,386.4582143,458.6590909,-72.20087662,,,,,,,,
75.5,35.5,281.5125,351.2534091,-69.74090909,,,,,,,,
76.5,35.5,199.1364286,251.8039773,-52.6675487,,,,,,,,
77.5,35.5,148.5396429,180.5352273,-31.99558442,,,,,,,,
78.5,35.5,120.3617857,137.8375,-17.47571429,,,,,,,,
79.5,35.5,100.0782143,109.6244318,-9.546217532,,,,,,,,
80.5,35.5,94.7825,96.81534091,-2.032840909,,,,,,,,
72.5,36.5,471.7982143,518.9795455,-47.18133117,,,,,,,,
73.5,36.5,359.4828571,409.9403409,-50.45748377,,,,,,,,
74.5,36.5,263.3417857,293.69375,-30.35196429,,,,,,,,
75.5,36.5,199.9707143,244.3482955,-44.37758117,,,,,,,,
78.5,36.5,75.95857143,88.61931818,-12.66074675,,,,,,,,
79.5,36.5,59.71142857,67.55852273,-7.847094156,,,,,,,,
