x,y,Mean,Sd,,,,,,
72.5,22.5,59.41814693,108.8213416,,,,,,
73.5,22.5,77.03432018,134.7987048,,,,,,
74.5,22.5,68.69828216,111.9559168,,,,,,
75.5,22.5,73.84477339,114.9439449,,,,,,
76.5,22.5,84.67017544,131.9109902,,,,,,
77.5,22.5,97.4500731,152.3982269,,,,,,
78.5,22.5,97.55299708,143.5755028,,,,,,
79.5,22.5,106.0750731,147.3171953,,,,,,
80.5,22.5,111.7732456,154.8360337,,,,,,
81.5,22.5,100.1864766,138.4243953,,,,,,
82.5,22.5,107.8765899,152.1031635,,,,,,
83.5,22.5,115.6435855,163.7936411,,,,,,
84.5,22.5,110.0107456,145.7989149,,,,,,
85.5,22.5,105.6078399,124.5487702,,,,,,
86.5,22.5,120.5212537,137.879176,,,,,,
87.5,22.5,126.2834064,137.4637707,,,,,,
88.5,22.5,135.0082968,146.1692298,,,,,,
92.5,22.5,235.7307383,241.7494439,,,,,,
68.5,23.5,25.38514254,56.7069539,,,,,,
69.5,23.5,25.37291667,56.09318327,,,,,,
70.5,23.5,33.73675073,69.26708663,,,,,,
71.5,23.5,41.85188231,85.40285881,,,,,,
72.5,23.5,60.39035088,114.4311132,,,,,,
73.5,23.5,73.9095212,132.2799881,,,,,,
74.5,23.5,80.04965278,131.6934128,,,,,,
75.5,23.5,79.8036367,125.4308686,,,,,,
76.5,23.5,74.14603436,113.2063001,,,,,,
77.5,23.5,91.07328216,144.1147422,,,,,,
78.5,23.5,100.8260417,161.2260103,,,,,,
79.5,23.5,101.7256031,151.5581949,,,,,,
80.5,23.5,97.56966374,138.8675845,,,,,,
81.5,23.5,90.69455409,124.4569863,,,,,,
82.5,23.5,97.74376827,134.7616479,,,,,,
83.5,23.5,102.1048063,143.0581314,,,,,,
84.5,23.5,103.2475329,137.433786,,,,,,
85.5,23.5,111.9851608,138.6317141,,,,,,
86.5,23.5,111.6978253,133.5975456,,,,,,
87.5,23.5,115.9282346,131.8095332,,,,,,
88.5,23.5,118.9070358,124.6524776,,,,,,
91.5,23.5,215.2824013,207.22178,,,,,,
92.5,23.5,241.5371528,227.2248312,,,,,,
93.5,23.5,220.7719115,212.2774396,,,,,,
68.5,24.5,17.72214912,42.5159215,,,,,,
69.5,24.5,20.55851608,46.67793205,,,,,,
70.5,24.5,24.7310307,52.68057639,,,,,,
71.5,24.5,33.63775585,68.26686435,,,,,,
72.5,24.5,49.71602705,95.90276139,,,,,,
73.5,24.5,55.37033991,96.26588034,,,,,,
74.5,24.5,68.08170687,113.6335902,,,,,,
75.5,24.5,71.68329678,118.944341,,,,,,
76.5,24.5,69.90977705,115.9384761,,,,,,
77.5,24.5,84.22958699,137.4152132,,,,,,
78.5,24.5,92.43857822,149.1376405,,,,,,
79.5,24.5,95.20409357,150.5678752,,,,,,
80.5,24.5,92.86043494,142.2590472,,,,,,
81.5,24.5,88.93898026,130.7120275,,,,,,
82.5,24.5,87.68338816,125.7080145,,,,,,
83.5,24.5,87.64197734,124.0560922,,,,,,
84.5,24.5,90.64881213,124.1325191,,,,,,
85.5,24.5,95.4878655,122.6878477,,,,,,
86.5,24.5,101.3171966,126.3298009,,,,,,
87.5,24.5,113.8677997,136.3019602,,,,,,
88.5,24.5,128.9943348,140.9762615,,,,,,
91.5,24.5,259.1057749,252.8197935,,,,,,
92.5,24.5,272.2254934,249.7637441,,,,,,
93.5,24.5,192.1294591,170.2461582,,,,,,
94.5,24.5,150.130318,131.7108476,,,,,,
70.5,25.5,18.55210161,39.84375431,,,,,,
71.5,25.5,23.82602339,46.24132387,,,,,,
72.5,25.5,32.78510599,63.00567996,,,,,,
73.5,25.5,41.57739401,75.0466072,,,,,,
74.5,25.5,50.58865132,87.86498091,,,,,,
75.5,25.5,60.61440058,107.2513761,,,,,,
76.5,25.5,70.45082237,122.998268,,,,,,
77.5,25.5,76.23468567,126.0795514,,,,,,
78.5,25.5,77.45056652,124.223734,,,,,,
79.5,25.5,79.81683114,124.340315,,,,,,
80.5,25.5,80.7722405,125.2442858,,,,,,
81.5,25.5,79.62905702,126.1392043,,,,,,
82.5,25.5,80.07487208,121.8514658,,,,,,
83.5,25.5,82.55219298,118.9186527,,,,,,
84.5,25.5,87.20394737,121.6810339,,,,,,
85.5,25.5,92.77637061,123.2681191,,,,,,
86.5,25.5,102.4351243,127.8326718,,,,,,
87.5,25.5,126.2816338,151.407622,,,,,,
88.5,25.5,157.0834795,179.401321,,,,,,
90.5,25.5,255.2420322,258.2289218,,,,,,
91.5,25.5,361.6742142,375.1815466,,,,,,
92.5,25.5,282.6411184,275.3915176,,,,,,
93.5,25.5,181.1830775,159.7293316,,,,,,
94.5,25.5,158.1719298,145.2700663,,,,,,
70.5,26.5,15.12887427,30.97316952,,,,,,
71.5,26.5,19.17885599,36.1274202,,,,,,
72.5,26.5,25.41167763,47.37546216,,,,,,
73.5,26.5,33.12657164,61.64837754,,,,,,
74.5,26.5,43.27169225,76.04672211,,,,,,
75.5,26.5,52.59431652,91.37391957,,,,,,
76.5,26.5,61.44586988,104.8775137,,,,,,
77.5,26.5,64.62637061,109.6645919,,,,,,
78.5,26.5,65.78377193,107.4321576,,,,,,
79.5,26.5,69.41100146,107.4769507,,,,,,
80.5,26.5,74.17490863,111.0052546,,,,,,
81.5,26.5,81.46807383,122.0363463,,,,,,
82.5,26.5,91.15964912,132.2513553,,,,,,
83.5,26.5,103.5343933,143.8195859,,,,,,
84.5,26.5,117.0078947,156.3431319,,,,,,
85.5,26.5,120.5056835,159.6131659,,,,,,
86.5,26.5,121.8689876,155.6156431,,,,,,
87.5,26.5,151.325932,186.98278,,,,,,
88.5,26.5,200.2300621,231.4330236,,,,,,
89.5,26.5,221.0872807,242.2249674,,,,,,
90.5,26.5,211.7367873,218.9860376,,,,,,
91.5,26.5,194.2352887,197.8009414,,,,,,
92.5,26.5,181.7364035,175.8907947,,,,,,
93.5,26.5,176.5832968,158.884531,,,,,,
94.5,26.5,173.7938231,153.1649815,,,,,,
95.5,26.5,152.914693,139.6293576,,,,,,
69.5,27.5,10.43254751,22.76348554,,,,,,
70.5,27.5,13.06966374,25.93290353,,,,,,
71.5,27.5,16.43907164,30.69684903,,,,,,
72.5,27.5,21.18062865,38.15278969,,,,,,
73.5,27.5,27.45747442,49.26220782,,,,,,
74.5,27.5,35.63404605,62.25160444,,,,,,
75.5,27.5,43.85756579,74.18099132,,,,,,
76.5,27.5,52.02097953,86.35458596,,,,,,
77.5,27.5,57.36798246,95.08483871,,,,,,
78.5,27.5,64.31189693,101.65752,,,,,,
79.5,27.5,74.41929825,109.4907156,,,,,,
80.5,27.5,88.76052632,125.514081,,,,,,
81.5,27.5,101.0038925,139.0297244,,,,,,
82.5,27.5,120.6669956,160.8287365,,,,,,
83.5,27.5,151.8332602,194.3399072,,,,,,
84.5,27.5,179.495212,226.3515849,,,,,,
88.5,27.5,140.0199013,155.7072217,,,,,,
89.5,27.5,135.731981,150.962436,,,,,,
90.5,27.5,158.5927083,172.2705797,,,,,,
91.5,27.5,156.3092288,165.5830353,,,,,,
92.5,27.5,136.4979349,140.140632,,,,,,
93.5,27.5,153.3646199,144.5865515,,,,,,
94.5,27.5,170.7310673,152.3134149,,,,,,
95.5,27.5,167.8267178,148.7574663,,,,,,
96.5,27.5,133.3481177,120.1086761,,,,,,
97.5,27.5,119.2760599,109.8555289,,,,,,
70.5,28.5,11.46862208,21.98434449,,,,,,
71.5,28.5,13.91290205,24.62596494,,,,,,
72.5,28.5,18.00149854,31.02322103,,,,,,
73.5,28.5,23.12509137,40.53990486,,,,,,
74.5,28.5,29.08510599,49.78382329,,,,,,
75.5,28.5,36.05425804,59.22386157,,,,,,
76.5,28.5,46.83446637,77.43755409,,,,,,
77.5,28.5,60.48596491,97.13224608,,,,,,
78.5,28.5,73.72068713,109.4835756,,,,,,
79.5,28.5,94.73614766,134.1045758,,,,,,
80.5,28.5,116.8438962,160.3528984,,,,,,
81.5,28.5,122.1926718,152.9492543,,,,,,
88.5,28.5,87.21801901,103.347035,,,,,,
91.5,28.5,77.66169591,94.85357311,,,,,,
92.5,28.5,72.2342288,86.75268122,,,,,,
93.5,28.5,90.63185307,97.87667702,,,,,,
94.5,28.5,116.3954496,110.9325076,,,,,,
95.5,28.5,114.4768823,105.5407274,,,,,,
96.5,28.5,87.54046053,81.92086632,,,,,,
97.5,28.5,71.7596674,67.43194658,,,,,,
72.5,29.5,17.08885234,27.63601472,,,,,,
73.5,29.5,21.57331871,33.75437945,,,,,,
74.5,29.5,28.6191886,44.8085623,,,,,,
75.5,29.5,37.18766447,57.17827779,,,,,,
76.5,29.5,51.28548977,78.01648358,,,,,,
77.5,29.5,71.98428363,104.9182221,,,,,,
78.5,29.5,86.75866228,119.1705445,,,,,,
79.5,29.5,102.3351608,131.1437988,,,,,,
80.5,29.5,104.7124817,119.4115393,,,,,,
94.5,29.5,60.76865863,66.36190765,,,,,,
95.5,29.5,69.42141813,69.52492094,,,,,,
96.5,29.5,56.30199196,56.36073484,,,,,,
73.5,30.5,26.83000731,39.75402719,,,,,,
74.5,30.5,35.06034357,52.37110377,,,,,,
75.5,30.5,46.92947734,72.18343244,,,,,,
76.5,30.5,65.76723319,92.8873128,,,,,,
77.5,30.5,86.90380117,115.7675969,,,,,,
78.5,30.5,87.88541667,105.1331664,,,,,,
79.5,30.5,69.33000731,72.80385713,,,,,,
80.5,30.5,52.40056652,46.69091528,,,,,,
74.5,31.5,49.34537646,70.03953388,,,,,,
75.5,31.5,63.83230994,89.44693353,,,,,,
76.5,31.5,80.95625,103.2205026,,,,,,
77.5,31.5,79.12149123,91.17030827,,,,,,
78.5,31.5,67.53174342,74.90438981,,,,,,
79.5,31.5,46.43022661,46.36362357,,,,,,
74.5,32.5,67.89205044,86.50138809,,,,,,
75.5,32.5,73.91586257,87.62750221,,,,,,
76.5,32.5,63.07860015,61.56513784,,,,,,
77.5,32.5,44.11982822,37.71227445,,,,,,
78.5,32.5,33.60020102,29.06043341,,,,,,
79.5,32.5,26.43755482,25.72447148,,,,,,
73.5,33.5,83.19157529,87.62368624,,,,,,
74.5,33.5,73.53283991,69.53768651,,,,,,
75.5,33.5,60.59890351,53.99056473,,,,,,
76.5,33.5,39.67370249,32.31554978,,,,,,
77.5,33.5,28.21779971,21.83225241,,,,,,
78.5,33.5,21.03384503,17.19495305,,,,,,
79.5,33.5,17.1212902,15.27281079,,,,,,
73.5,34.5,76.72786915,61.86768756,,,,,,
74.5,34.5,57.2253655,45.89250282,,,,,,
75.5,34.5,38.10188231,31.2358956,,,,,,
76.5,34.5,26.76151316,23.72992051,,,,,,
77.5,34.5,17.82072368,15.20427953,,,,,,
78.5,34.5,12.64537646,12.92159934,,,,,,
79.5,34.5,10.59022295,14.25472912,,,,,,
73.5,35.5,45.35115132,36.82635533,,,,,,
74.5,35.5,34.52710161,30.65077825,,,,,,
75.5,35.5,25.70250365,25.72332195,,,,,,
76.5,35.5,18.28868787,22.52285467,,,,,,
77.5,35.5,13.40740132,19.0046441,,,,,,
78.5,35.5,10.59223319,16.33384751,,,,,,
79.5,35.5,8.646893275,14.72835012,,,,,,
80.5,35.5,7.963925439,13.32186735,,,,,,
72.5,36.5,40.83404605,33.7389775,,,,,,
73.5,36.5,31.57980629,29.10566478,,,,,,
74.5,36.5,22.92138158,23.97324572,,,,,,
75.5,36.5,18.09157529,22.55812467,,,,,,
78.5,36.5,6.737097953,11.49012938,,,,,,
79.5,36.5,5.228344298,8.036480595,,,,,,
