x,y,Mean1,Mean2,Diff,,,,,
92.25,26.5,2297.807182,2250.91448,46.89270197,,,,,
92.5,26.5,2255.687538,2202.248926,53.43861184,,,,,
92.75,26.5,2213.567895,2153.583373,59.9845217,,,,,
93,26.5,2196.471464,2132.282816,64.18864853,,,,,
93.25,26.5,2179.375034,2110.982259,68.39277535,,,,,
93.5,26.5,2170.486821,2097.105592,73.38122901,,,,,
93.75,26.5,2161.598607,2083.228925,78.36968267,,,,,
94,26.5,2163.435036,2079.962257,83.47277865,,,,,
94.25,26.5,2165.271465,2076.69559,88.57587463,,,,,
94.5,26.5,2136.100748,2045.551702,90.54904655,,,,,
94.75,26.5,2106.930032,2014.407814,92.52221847,,,,,
95,26.5,1971.93396,1887.206145,84.72781504,,,,,
95.25,26.5,1836.937888,1760.004476,76.93341161,,,,,
88.25,26.75,2366.848609,2320.802262,46.04634728,,,,,
88.5,26.75,2496.158613,2462.075596,34.08301715,,,,,
88.75,26.75,2625.468617,2603.34893,22.11968703,,,,,
89,26.75,2664.43933,2655.453375,8.985954856,,,,,
89.25,26.75,2703.410043,2707.55782,-4.147777314,,,,,
89.5,26.75,2693.80576,2695.88116,-2.075399839,,,,,
89.75,26.75,2684.201478,2684.2045,-0.003022365,,,,,
90,26.75,2638.570761,2642.701161,-4.130400304,,,,,
90.25,26.75,2592.940044,2601.197822,-8.257778243,,,,,
90.5,26.75,2576.844331,2574.826715,2.017616275,,,,,
90.75,26.75,2560.748619,2548.455608,12.29301079,,,,,
91,26.75,2499.472187,2484.942268,14.52991928,,,,,
91.25,26.75,2438.195756,2421.428928,16.76682778,,,,,
91.5,26.75,2391.622182,2372.460039,19.16214294,,,,,
91.75,26.75,2345.048608,2323.49115,21.55745811,,,,,
92,26.75,2268.397894,2241.587814,26.81007992,,,,,
92.25,26.75,2191.74718,2159.684478,32.06270174,,,,,
92.5,26.75,2152.955751,2114.982258,37.97349293,,,,,
92.75,26.75,2114.164323,2070.280039,43.88428412,,,,,
93,26.75,2119.911464,2068.750038,51.16142603,,,,,
93.25,26.75,2125.658604,2067.220037,58.43856795,,,,,
93.5,26.75,2141.485035,2076.052259,65.43277534,,,,,
93.75,26.75,2157.311465,2084.884482,72.42698272,,,,,
94,26.75,2185.323609,2105.445593,79.87801685,,,,,
94.25,26.75,2213.335754,2126.006703,87.32905099,,,,,
94.5,26.75,2208.352895,2115.280037,93.07285736,,,,,
94.75,26.75,2203.370036,2104.553372,98.81666373,,,,,
95,26.75,2029.325747,1938.031145,91.2946017,,,,,
95.25,26.75,1855.281458,1771.508919,83.77253967,,,,,
95.5,26.75,1839.087172,1757.357807,81.72936481,,,,,
88,27,2199.426466,2145.575037,53.85142904,,,,,
88.25,27,2246.337896,2205.342261,40.9956351,,,,,
88.5,27,2336.070398,2303.521705,32.54869297,,,,,
88.75,27,2425.8029,2401.70115,24.10175084,,,,,
89,27,2381.431827,2367.723372,13.70845485,,,,,
92,27,2134.695034,2117.888924,16.80611036,,,,,
92.25,27,2051.700747,2029.828921,21.87182567,,,,,
92.5,27,2061.112177,2033.592256,27.51992106,,,,,
92.75,27,2070.523607,2037.35559,33.16801645,,,,,
93,27,2059.122535,2017.492256,41.63027846,,,,,
93.25,27,2047.721463,1997.628922,50.09254046,,,,,
93.5,27,2068.780749,2010.532256,58.24849304,,,,,
93.75,27,2089.840036,2023.43559,66.40444563,,,,,
94,27,2144.165037,2068.055036,76.11000141,,,,,
94.25,27,2198.490038,2112.674481,85.8155572,,,,,
94.5,27,2213.476466,2119.817815,93.65865071,,,,,
94.75,27,2228.462893,2126.961149,101.5017442,,,,,
95,27,2122.53682,2022.426702,100.1101182,,,,,
95.25,27,2016.610747,1917.892255,98.71849222,,,,,
95.5,27,1968.739319,1875.304476,93.4348429,,,,,
95.75,27,1920.867891,1832.716697,88.15119358,,,,,
96,27,1919.87789,1831.352808,88.52508194,,,,,
88,27.25,2172.123612,2121.573372,50.55024032,,,,,
88.25,27.25,2125.827183,2089.88226,35.94492291,,,,,
88.5,27.25,2175.982183,2144.967814,31.01436878,,,,,
88.75,27.25,2226.137183,2200.053369,26.08381465,,,,,
92,27.25,2000.992174,1994.190033,6.802140805,,,,,
92.25,27.25,1911.654314,1899.973365,11.6809496,,,,,
92.5,27.25,1969.268602,1952.202253,17.06634919,,,,,
92.75,27.25,2026.88289,2004.431142,22.45174878,,,,,
93,27.25,1998.333606,1966.234475,32.09913088,,,,,
93.25,27.25,1969.784321,1928.037808,41.74651297,,,,,
93.5,27.25,1996.076463,1945.012253,51.06421075,,,,,
93.75,27.25,2022.368606,1961.986698,60.38190853,,,,,
94,27.25,2103.006465,2030.664479,72.34198597,,,,,
94.25,27.25,2183.644323,2099.34226,84.30206341,,,,,
94.5,27.25,2218.600037,2124.355593,94.24444406,,,,,
94.75,27.25,2253.555751,2149.368926,104.1868247,,,,,
