"","V1","V2","V3"
"1",5046,13326,-8280
"2",2302.37503837416,2181.99004337274,120.384995001418
"3",2060.05146621657,1953.32004080812,106.731425408452
"4",1972.09074830487,1875.19559263057,96.895155674302
"5",2862.46004721445,2703.92837957963,158.531667634818
"6",2439.25075452908,2317.05781852032,122.192936008761
"7",2274.61218120879,2161.23003930805,113.382141900734
"8",2109.9736078885,2005.40226009579,104.571347792707
"9",2022.94896307327,1925.88725754387,97.0617055293999
"10",1935.92431825804,1846.37225499195,89.5520632660935
"11",1902.91431832489,1825.33447672683,77.579841598058
"12",3271.03005257398,3086.25561114483,184.774441429146
"13",2802.41647555019,2654.85560112405,147.56087442614
"14",2333.8028985264,2223.45559110327,110.347307423136
"15",2246.84932404341,2140.47003524337,106.379288800049
"16",2159.89574956042,2057.48447938346,102.411270176962
"17",2073.80717784166,1976.57892245717,97.2282553844982
"18",1987.7186061229,1895.67336553087,92.0452405920341
"19",1942.84289193467,1863.85225376396,78.9906381707167
"20",3498.22684472964,3321.4272791872,176.799565542442
"21",3001.13362218179,2851.07338516232,150.060237019468
"22",2668.67254605589,2541.71226616485,126.960279891034
"23",2336.21146992999,2232.35114716739,103.8603227626
"24",2237.70218098355,2137.77003549809,99.9321454854589
"25",2139.19289203712,2043.1889238288,96.0039682083191
"26",2069.82503444813,1976.71892423083,93.1061102172982
"27",2000.45717685914,1910.24892463287,90.2082522262774
"28",1950.48039143674,1870.14669994373,80.3336914930105
"29",1900.50360601433,1830.04447525458,70.4591307597439
"30",2485.44718637115,2455.80226782014,29.6449185510123
"31",2669.58362009041,2627.16115959576,42.4224604946457
"32",3502.36577404642,3366.86449776971,135.50127627671
"33",3116.80148291801,2991.37782847476,125.42365444325
"34",2731.2371917896,2615.89115917981,115.34603260979
"35",2534.92861656158,2428.56893120565,106.359685355927
"36",2338.62004133356,2241.2467032315,97.3733381020643
"37",2228.55503792369,2135.07003575282,93.4850021708698
"38",2118.49003451381,2028.89336827414,89.596666239675
"39",2065.8428910546,1976.8589260045,88.9839650500983
"40",2013.19574759539,1924.82448373487,88.3712638605205
"41",1958.1178909388,1876.44114612349,81.676744815305
"42",1903.04003428221,1828.05780851212,74.9822257700894
"43",1880.56646131894,1810.87336317533,69.6930981436185
"44",2497.47718632519,2491.0644892907,6.41269703449507
"45",2536.68432962128,2522.3500446902,14.3342849310839
"46",2575.89147291737,2553.6356000897,22.2558728276736
"47",2660.53504844396,2627.80060357658,32.7344448673734
"48",2745.17862397055,2701.96560706347,43.2130169070729
"49",2846.47505175865,2793.45060903157,53.0244427270832
"50",2947.77147954676,2884.93561099966,62.8358685470939
"51",3063.93148301835,2991.82672368971,72.1047593286353
"52",3180.09148648993,3098.71783637976,81.3736501101757
"53",3206.49112779828,3130.53950445333,75.9516233449476
"54",3232.89076910663,3162.36117252691,70.5295965797191
"55",3093.00362404755,3008.43283113879,84.5707929087662
"56",2953.11647898848,2854.50448975066,98.6119892378115
"57",2737.61040398021,2640.44671138703,97.1636925931784
"58",2522.10432897194,2426.3889330234,95.7153959485445
"59",2403.98004089788,2312.19226270964,91.7877781882439
"60",2285.85575282382,2197.99559239588,87.8601604279429
"61",2214.02182248299,2126.61448005637,87.4073424266207
"62",2142.18789214215,2055.23336771685,86.954524425299
"63",2103.69467682862,2015.66892408282,88.0257527458084
"64",2065.2014615151,1976.10448044878,89.0969810663173
"65",2010.98324645116,1926.13225617309,84.8509902780697
"66",1956.76503138723,1876.16003189741,80.6049994898221
"67",1897.55431704167,1823.62725378031,73.9270632613657
"68",2634.78575373952,2618.36337782327,16.4223759162523
"69",2712.67290222581,2700.04893652184,12.6239657039678
"70",2689.5043308447,2675.75893444055,13.745396404152
"71",2666.33575946359,2651.46893235925,14.8668271043352
"72",2651.4864767975,2628.4400475574,23.0464292401007
"73",2636.63719413142,2605.41116275556,31.2260313758652
"74",2630.82790533576,2595.22893895995,35.5989663758037
"75",2625.01861654009,2585.04671516435,39.9719013757408
"76",2562.35504621789,2524.39115889859,37.9638873192998
"77",2499.69147589569,2463.73560263283,35.9558732628589
"78",2438.12218630074,2401.185599566,36.936586734741
"79",2376.5528967058,2338.63559649918,37.9173002066241
"80",2390.21004031817,2340.3900391154,49.8200012027683
"81",2403.86718393053,2342.14448173162,61.7227021989129
"82",2358.41932504241,2289.5155942993,68.9037307431063
"83",2312.97146615429,2236.88670686699,76.0847592872997
"84",2273.03146523418,2195.81559421362,77.2158710205599
"85",2233.09146431408,2154.74448156026,78.3469827538211
"86",2199.48860704228,2118.15892435991,81.3296826823716
"87",2165.88574977049,2081.57336715957,84.3123826109227
"88",2141.54646260265,2054.47892216113,87.0675404415188
"89",2117.20717543481,2027.38447716269,89.8226982721139
"90",2063.84860196353,1975.8233662227,88.0252357408342
"91",2010.49002849225,1924.2622552827,86.2277732095547
"92",1914.5421727644,1836.38114438529,78.1610283791138
"93",2591.18361129058,2570.01337471364,21.1702365769397
"94",2649.61254192482,2636.90837653884,12.7041653859796
"95",2708.04147255905,2703.80337836403,4.23809419502049
"96",2691.65504559018,2685.82004730776,5.83499828241702
"97",2675.2686186213,2667.83671625149,7.43190236981536
"98",2645.02861879377,2635.57060432567,9.45801446810947
"99",2614.78861896625,2603.30449239984,11.484126566404
"100",2603.83611828145,2585.02782695629,18.8082913251596
"101",2592.88361759665,2566.75116151273,26.1324560839157
"102",2530.9136167432,2504.66671344145,26.2469033017519
"103",2468.94361588976,2442.58226537017,26.3613505195885
"104",2414.8721840999,2386.82281926179,28.0493648381048
