"","V1","V2"
"1",162.201644736842,137.751692466802
"2",94.2469298245614,80.5893653760117
"3",120.43735380117,104.897812472949
"4",168.045376461988,138.225768647665
"5",122.229513888889,90.6840877962904
"6",73.8198830409357,82.4551677100983
"7",113.55716374269,123.41547378866
"8",194.636092836257,198.467501992033
"9",90.525182748538,75.4253009607615
"10",75.3424890350877,75.2827162519818
"11",97.2777960526316,116.258375558393
"12",187.41730628655,220.937368179579
"13",137.581067251462,134.775982950929
"14",67.2803728070175,62.1095357837016
"15",77.356067251462,75.5494902199116
"16",102.163230994152,124.789205728408
"17",234.554130116959,304.473333720244
"18",99.3399488304094,96.1239967439658
"19",69.0377010233918,69.3001467473633
"20",75.999817251462,74.8027357260102
"21",95.7266264619883,105.721951315448
"22",101.987865497076,122.983186037622
"23",237.919188596491,323.326337201765
"24",120.722203947368,140.740348301532
"25",60.7403143274854,60.2013752186052
"26",63.2552997076023,68.9029829678702
"27",60.9855811403509,64.3084925975032
"28",82.5493786549708,94.0819163829407
"29",93.7070906432749,112.270125028106
"30",184.846619152047,251.407231394831
"31",82.8498538011696,90.1371823108848
"32",49.0992324561403,52.383322791951
"33",47.2787280701754,56.5833039349007
"34",55.7860197368421,62.9399328838877
"35",74.0826023391813,92.2297100327119
"36",81.8089546783626,87.5817035946394
"37",205.179532163743,302.915119372052
"38",144.264930555556,193.36834600611
"39",59.9706323099415,61.8880980507754
"40",45.3235380116959,52.1804239869578
"41",47.5834064327485,54.9007115509872
"42",54.2786549707602,62.1837166196848
"43",64.9367872807018,76.9246689090246
"44",82.9368421052632,90.7838315177251
"45",172.034703947368,246.552412606476
"46",89.8915204678363,115.692131198302
"47",54.6192434210526,61.8304329882953
"48",53.7233004385965,64.3495907612765
"49",64.0728070175439,78.8251317541883
"50",62.1864035087719,73.4746018905435
"51",66.8554459064327,74.5970074042082
"52",77.9074561403509,86.1737183965067
"53",91.877668128655,103.7184474862
"54",99.7463084795322,110.384328610642
"55",154.85274122807,225.032420406227
"56",66.6500365497076,83.1659401934767
"57",56.7902960526316,69.2275000449698
"58",64.2943713450292,80.4014582469076
"59",73.2905153508772,92.7086260320727
"60",70.2758040935672,87.719815793982
"61",73.9983004385965,88.1564023431339
"62",85.5603435672515,100.328428978134
"63",92.5707236842105,101.68632629226
"64",98.0932565789474,105.316328018352
"65",148.72057748538,229.934400521046
"66",113.903125,166.056650603324
"67",59.8289108187135,76.663841611937
"68",59.9948099415205,78.3750467444519
"69",72.4428179824561,93.9125268550535
"70",82.6499634502924,110.230142294649
"71",82.8917214912281,111.621489691509
"72",81.865442251462,103.842573864416
"73",94.3208881578947,114.548899620061
"74",106.145010964912,123.321269371463
"75",108.129605263158,122.992001738234
"76",89.7260416666667,99.1043901202417
"77",118.70403874269,134.33332419559
"78",169.488157894737,285.852827818835
"79",113.161239035088,171.270346964984
"80",56.7813048245614,75.5753099462984
"81",62.0775219298246,82.4587841673433
"82",70.6147112573099,93.8733868195385
"83",78.4548428362573,106.56371987841
"84",86.8163742690058,117.315625175691
"85",88.3025402046784,116.536040113106
"86",100.00754751462,129.088235012961
"87",110.026626461988,140.819436378134
"88",113.423830409357,142.484148091928
"89",100.49855628655,116.767209261672
"90",98.4618786549708,106.574140137242
"91",112.963505116959,128.096204648283
"92",66.3200292397661,133.085472398639
"93",81.5053362573099,146.790651969121
"94",125.230263157895,213.908290580696
"95",125.328636695906,205.0076002459
"96",68.5425255847953,96.8956441172773
"97",60.528855994152,80.6256620350589
"98",67.3430190058479,91.6156482939063
"99",72.0145102339181,98.0291515394895
"100",89.8707785087719,123.153101448168
"101",102.078581871345,140.97528816637
"102",103.336275584795,142.486661192334
"103",102.814053362573,137.986466357808
"104",106.74778874269,142.693362512582
"105",105.039473684211,135.136052063932
"106",107.265021929825,125.635213717277
"107",113.954312865497,129.51125670828
"108",132.297222222222,148.333709447959
"109",52.3475877192982,108.929822351557
"110",50.5940972222222,98.1243196565163
"111",55.6409173976608,100.570763283437
"112",72.913322368421,125.360039431785
"113",98.6291849415205,164.147472248877
"114",69.3863486842105,105.317554893888
"115",59.299360380117,84.6741052090423
"116",70.5256213450292,102.299226365838
"117",80.4456688596491,115.945755769153
"118",92.3650402046784,126.56454804059
"119",108.001571637427,149.077706972144
"120",115.313614766082,166.090289910519
"121",102.669316520468,141.460224492693
"122",110.742909356725,154.783300912544
"123",119.740460526316,171.796150353674
"124",113.914912280702,148.912480674804
"125",108.184850146199,122.498212612983
"126",125.764784356725,135.677561862892
"127",144.756122076023,154.927664270318
"128",155.220358187135,164.000613279949
"129",42.5249634502924,92.6748591874803
"130",46.6603801169591,91.801488117736
"131",45.5605994152047,83.5505838040228
"132",59.4181469298246,108.821341557131
"133",77.0343201754386,134.79870478922
"134",68.6982821637427,111.955916821852
"135",73.8447733918129,114.943944856305
"136",84.6701754385965,131.91099016248
"137",97.4500730994152,152.398226893107
"138",97.5529970760234,143.575502820689
"139",106.075073099415,147.317195276502
"140",111.773245614035,154.836033704175
"141",100.186476608187,138.424395312673
"142",107.876589912281,152.103163534189
"143",115.643585526316,163.793641061284
"144",110.010745614035,145.798914924971
"145",105.607839912281,124.548770168728
"146",120.521253654971,137.879176023787
"147",126.283406432749,137.46377066649
"148",135.008296783626,146.16922981328
"149",235.730738304094,241.749443929531
"150",25.3851425438597,56.7069539033162
"151",25.3729166666667,56.0931832723794
"152",33.7367507309942,69.2670866274536
"153",41.8518823099415,85.4028588125925
"154",60.390350877193,114.431113171917
"155",73.9095211988304,132.279988055035
"156",80.0496527777778,131.693412806267
