x,y,Mean1,Mean2,Diff,,,,,,
75.5,20.5,659.7832143,664.5693182,-4.786103896,,,,,,
76.5,20.5,748.1114286,729.9948864,18.11654221,,,,,,
77.5,20.5,792.6307143,780.6886364,11.94207792,,,,,,
78.5,20.5,1008.975714,969.26875,39.70696429,,,,,,
79.5,20.5,1154.069643,1105.492045,48.5775974,,,,,,
80.5,20.5,1182.496429,1114.927841,67.56858766,,,,,,
81.5,20.5,1177.041786,1095.048295,81.99349026,,,,,,
82.5,20.5,1214.590714,1117.590341,97.00037338,,,,,,
83.5,20.5,1171.186071,1094.039773,77.1462987,,,,,,
84.5,20.5,1146.984286,1094.928977,52.05530844,,,,,,
85.5,20.5,1186.708214,1157.226136,29.48207792,,,,,,
86.5,20.5,1375.6075,1343.815909,31.79159091,,,,,,
69.5,21.5,573.9064286,667.1039773,-93.1975487,,,,,,
70.5,21.5,551.6582143,660.1522727,-108.4940584,,,,,,
71.5,21.5,639.6578571,669.6886364,-30.03077922,,,,,,
72.5,21.5,828.4160714,894.45625,-66.04017857,,,,,,
73.5,21.5,1146.621786,1178.565909,-31.94412338,,,,,,
74.5,21.5,796.0271429,802.3568182,-6.329675325,,,,,,
75.5,21.5,659.0764286,672.9420455,-13.86561688,,,,,,
76.5,21.5,785.7925,789.6460227,-3.853522727,,,,,,
77.5,21.5,884.0410714,898.7022727,-14.6612013,,,,,,
78.5,21.5,1021.653214,999.3670455,22.28616883,,,,,,
79.5,21.5,1217.292857,1150.599432,66.69342532,,,,,,
80.5,21.5,1323.0025,1233.607386,89.39511364,,,,,,
81.5,21.5,1177.261429,1085.269318,91.99211039,,,,,,
82.5,21.5,1280.536071,1163.352273,117.1837987,,,,,,
83.5,21.5,1391.998571,1269.181818,122.8167532,,,,,,
84.5,21.5,1265.319286,1188.146591,77.17269481,,,,,,
85.5,21.5,1128.4325,1076.94375,51.48875,,,,,,
86.5,21.5,1282.716429,1256.742614,25.97381494,,,,,,
87.5,21.5,1454.726429,1511.373864,-56.64743506,,,,,,
88.5,21.5,1559.26,1617.065909,-57.80590909,,,,,,
69.5,22.5,478.7782143,523.5505682,-44.7723539,,,,,,
70.5,22.5,521.0864286,586.9568182,-65.87038961,,,,,,
71.5,22.5,518.9392857,553.3727273,-34.43344156,,,,,,
72.5,22.5,696.9414286,696.5517045,0.389724026,,,,,,
73.5,22.5,916.6739286,880.7625,35.91142857,,,,,,
74.5,22.5,815.885,779.6840909,36.20090909,,,,,,
75.5,22.5,842.2260714,853.2670455,-11.04097403,,,,,,
76.5,22.5,950.885,970.90625,-20.02125,,,,,,
77.5,22.5,1093.682857,1107.145455,-13.4625974,,,,,,
78.5,22.5,1072.763571,1095.325,-22.56142857,,,,,,
79.5,22.5,1179.442857,1129.682955,49.7599026,,,,,,
80.5,22.5,1255.154643,1164.33125,90.82339286,,,,,,
81.5,22.5,1134.937857,1035.965909,98.97194805,,,,,,
82.5,22.5,1246.723929,1125.134091,121.5898377,,,,,,
83.5,22.5,1334.988214,1197.222159,137.7660552,,,,,,
84.5,22.5,1227.591429,1127.796023,99.79540584,,,,,,
85.5,22.5,1134.497143,1054.917614,79.57952922,,,,,,
86.5,22.5,1275.010357,1194.033523,80.97683442,,,,,,
87.5,22.5,1273.234643,1302.621023,-29.38637987,,,,,,
88.5,22.5,1310.161786,1407.607955,-97.44616883,,,,,,
92.5,22.5,2237.256071,2188.732386,48.52368506,,,,,,
68.5,23.5,292.5075,277.9107955,14.59670455,,,,,,
69.5,23.5,285.8242857,299.5028409,-13.67855519,,,,,,
70.5,23.5,386.4517857,402.1954545,-15.74366883,,,,,,
71.5,23.5,491.5392857,486.4340909,5.105194805,,,,,,
72.5,23.5,707.5621429,700.0426136,7.519529221,,,,,,
73.5,23.5,881.6746429,829.7693182,51.90532468,,,,,,
74.5,23.5,951.7096429,895.9443182,55.76532468,,,,,,
75.5,23.5,932.9678571,882.4715909,50.49626623,,,,,,
76.5,23.5,846.7621429,808.7698864,37.99225649,,,,,,
77.5,23.5,1034.835357,1007.749432,27.08592532,,,,,,
78.5,23.5,1141.968929,1113.557955,28.41097403,,,,,,
79.5,23.5,1151.451429,1092.661932,58.78949675,,,,,,
80.5,23.5,1095.098929,1015.786364,79.31256494,,,,,,
81.5,23.5,1018.579643,927.1994318,91.38021104,,,,,,
82.5,23.5,1112.030714,998.4039773,113.626737,,,,,,
83.5,23.5,1164.062857,1036.234659,127.8281981,,,,,,
84.5,23.5,1152.258571,1038.423864,113.8347078,,,,,,
85.5,23.5,1237.490714,1124.5625,112.9282143,,,,,,
86.5,23.5,1229.904643,1117.104545,112.8000974,,,,,,
87.5,23.5,1216.763571,1152.364773,64.3987987,,,,,,
88.5,23.5,1167.910714,1149.818182,18.09253247,,,,,,
91.5,23.5,1975.295714,1804.416477,170.879237,,,,,,
92.5,23.5,2149.534643,2067.551136,81.98350649,,,,,,
93.5,23.5,2034.078571,1978.704545,55.37402597,,,,,,
68.5,24.5,202.2071429,187.2028409,15.00430195,,,,,,
69.5,24.5,234.7271429,233.5414773,1.185665584,,,,,,
70.5,24.5,283.955,284.1784091,-0.223409091,,,,,,
71.5,24.5,385.1746429,392.8818182,-7.707175325,,,,,,
72.5,24.5,574.0628571,564.6806818,9.382175325,,,,,,
73.5,24.5,638.8889286,600.7005682,38.18836039,,,,,,
74.5,24.5,791.3710714,741.1778409,50.19323052,,,,,,
75.5,24.5,834.5414286,783.1556818,51.38574675,,,,,,
76.5,24.5,809.4528571,759.1414773,50.31137987,,,,,,
77.5,24.5,966.8935714,907.8068182,59.08675325,,,,,,
78.5,24.5,1054.615357,1000.840341,53.77501623,,,,,,
79.5,24.5,1086.473929,1018.901136,67.57279221,,,,,,
80.5,24.5,1058.264286,973.4255682,84.83871753,,,,,,
81.5,24.5,1010.268214,919.8852273,90.38298701,,,,,,
82.5,24.5,998.9760714,897.24375,101.7323214,,,,,,
83.5,24.5,999.2525,895.6125,103.64,,,,,,
84.5,24.5,1031.236786,931.3835227,99.85326299,,,,,,
85.5,24.5,1080.6475,973.7153409,106.9321591,,,,,,
86.5,24.5,1140.810357,1015.882955,124.9274026,,,,,,
87.5,24.5,1242.520714,1109.918182,132.6025325,,,,,,
88.5,24.5,1319.302857,1234.986364,84.31649351,,,,,,
91.5,24.5,2245.681786,2142.617614,103.0641721,,,,,,
92.5,24.5,2301.195714,2220.802841,80.39287338,,,,,,
93.5,24.5,1651.471786,1587.594886,63.87689935,,,,,,
94.5,24.5,1341.5125,1271.903977,69.60852273,,,,,,
70.5,25.5,206.4621429,208.2676136,-1.805470779,,,,,,
71.5,25.5,262.0989286,274.03125,-11.93232143,,,,,,
72.5,25.5,364.1632143,380.3147727,-16.15155844,,,,,,
73.5,25.5,469.8007143,468.2965909,1.504123377,,,,,,
74.5,25.5,575.0410714,558.6579545,16.38311688,,,,,,
75.5,25.5,698.3510714,666.4096591,31.94141234,,,,,,
76.5,25.5,818.7814286,765.8710227,52.91040584,,,,,,
77.5,25.5,880.6632143,825.5801136,55.08310065,,,,,,
78.5,25.5,890.2642857,844.2857955,45.97849026,,,,,,
79.5,25.5,919.33,859.99375,59.33625,,,,,,
80.5,25.5,935.2803571,860.0715909,75.20876623,,,,,,
81.5,25.5,926.0864286,834.8528409,91.23358766,,,,,,
82.5,25.5,927.9546429,843.1852273,84.76941558,,,,,,
83.5,25.5,948.8989286,874.3579545,74.54097403,,,,,,
84.5,25.5,980.5728571,925.19375,55.37910714,,,,,,
85.5,25.5,1039.44,962.3590909,77.08090909,,,,,,
86.5,25.5,1154.8775,999.3210227,155.5564773,,,,,,
87.5,25.5,1366.598214,1252.628409,113.9698052,,,,,,
88.5,25.5,1619.466429,1553.531818,65.93461039,,,,,,
90.5,25.5,2296.923214,2290.306818,6.616396104,,,,,,
91.5,25.5,3289.805357,3234.844318,54.96103896,,,,,,
92.5,25.5,2505.566429,2431.909659,73.65676948,,,,,,
93.5,25.5,1557.768214,1485.793182,71.97503247,,,,,,
94.5,25.5,1470.483214,1378.65,91.83321429,,,,,,
70.5,26.5,161.5446429,162.2926136,-0.747970779,,,,,,
71.5,26.5,204.6546429,207.2767045,-2.622061688,,,,,,
72.5,26.5,268.0410714,280.3772727,-12.3362013,,,,,,
73.5,26.5,354.8403571,376.2073864,-21.36702922,,,,,,
74.5,26.5,470.1942857,493.3278409,-23.13355519,,,,,,
75.5,26.5,581.2075,589.4431818,-8.235681818,,,,,,
76.5,26.5,693.1553571,675.0340909,18.12126623,,,,,,
77.5,26.5,739.4410714,701.8698864,37.57118506,,,,,,
78.5,26.5,751.6267857,719.7028409,31.92394481,,,,,,
79.5,26.5,798.2975,746.0528409,52.24465909,,,,,,
80.5,26.5,865.4507143,774.9085227,90.54219156,,,,,,
81.5,26.5,962.6042857,843.9585227,118.645763,,,,,,
82.5,26.5,1058.503214,973.5636364,84.93957792,,,,,,
83.5,26.5,1179.576786,1106.071591,73.50519481,,,,,,
84.5,26.5,1316.733571,1215.967614,100.7659578,,,,,,
85.5,26.5,1352.631429,1190.695455,161.935974,,,,,,
86.5,26.5,1327.570714,1183.190341,144.3803734,,,,,,
87.5,26.5,1586.17,1524.298295,61.87170455,,,,,,
88.5,26.5,2054.575357,2019.041477,35.53387987,,,,,,
89.5,26.5,2150.737857,2158.189773,-7.451915584,,,,,,
90.5,26.5,1919.996429,1956.290341,-36.29391234,,,,,,
91.5,26.5,1710.043929,1757.323295,-47.27936688,,,,,,
92.5,26.5,1609.056429,1587.459091,21.59733766,,,,,,
93.5,26.5,1540.699643,1472.351705,68.34793831,,,,,,
94.5,26.5,1531.202857,1435.419318,95.78353896,,,,,,
95.5,26.5,1416.306071,1315.009659,101.2964123,,,,,,
69.5,27.5,97.57107143,103.5761364,-6.005064935,,,,,,
70.5,27.5,128.7317857,137.0386364,-8.306850649,,,,,,
71.5,27.5,167.0882143,173.8181818,-6.729967532,,,,,,
72.5,27.5,214.3457143,220.8551136,-6.509399351,,,,,,
73.5,27.5,279.1671429,293.2448864,-14.07774351,,,,,,
74.5,27.5,372.3921429,387.6573864,-15.26524351,,,,,,
75.5,27.5,463.3710714,482.3534091,-18.98233766,,,,,,
76.5,27.5,555.1867857,578.08125,-22.89446429,,,,,,
77.5,27.5,627.2607143,629.2965909,-2.035876623,,,,,,
78.5,27.5,721.3682143,687.4022727,33.96594156,,,,,,
79.5,27.5,858.7835714,766.2460227,92.5375487,,,,,,
80.5,27.5,1048.736786,873.5619318,175.1748539,,,,,,
81.5,27.5,1181.002143,1009.601136,171.4010065,,,,,,
82.5,27.5,1362.867857,1239.472727,123.3951299,,,,,,
83.5,27.5,1668.588571,1521.13125,147.4573214,,,,,,
84.5,27.5,1946.180357,1758.734659,187.4456981,,,,,,
88.5,27.5,1422.734286,1389.414205,33.32008117,,,,,,
89.5,27.5,1351.815714,1361.84375,-10.02803571,,,,,,
90.5,27.5,1532.654286,1563.622727,-30.96844156,,,,,,
91.5,27.5,1476.551786,1502.771023,-26.21923701,,,,,,
92.5,27.5,1289.6525,1277.415909,12.23659091,,,,,,
93.5,27.5,1386.276786,1338.75,47.52678571,,,,,,
94.5,27.5,1488.590357,1398.651705,89.9386526,,,,,,
95.5,27.5,1482.071071,1381.79375,100.2773214,,,,,,
96.5,27.5,1222.727857,1150.721023,72.00683442,,,,,,
97.5,27.5,1120.746071,1059.935795,60.81027597,,,,,,
70.5,28.5,99.62142857,112.1409091,-12.51948052,,,,,,
71.5,28.5,125.7842857,139.4511364,-13.66685065,,,,,,
72.5,28.5,166.9260714,181.6977273,-14.77165584,,,,,,
73.5,28.5,222.1914286,236.9096591,-14.71823052,,,,,,
74.5,28.5,291.7228571,306.7772727,-15.05441558,,,,,,
75.5,28.5,364.3582143,389.7238636,-25.36564935,,,,,,
76.5,28.5,475.8585714,520.5857955,-44.72722403,,,,,,
77.5,28.5,627.5214286,668.1113636,-40.58993506,,,,,,
78.5,28.5,813.5810714,770.9022727,42.6787987,,,,,,
79.5,28.5,1085.483214,929.0704545,156.4127597,,,,,,
80.5,28.5,1360.393214,1075.440909,284.9523052,,,,,,
81.5,28.5,1344.012143,1104.205682,239.806461,,,,,,
88.5,28.5,905.235,884.1556818,21.07931818,,,,,,
91.5,28.5,809.9164286,809.1880682,0.72836039,,,,,,
92.5,28.5,754.0314286,731.4954545,22.53597403,,,,,,
93.5,28.5,889.5078571,853.4045455,36.10331169,,,,,,
94.5,28.5,1065.096071,1020.342614,44.75345779,,,,,,
95.5,28.5,1041.848929,983.1727273,58.6762013,,,,,,
96.5,28.5,820.8717857,778.1920455,42.67974026,,,,,,
97.5,28.5,679.3207143,647.2255682,32.0951461,,,,,,
72.5,29.5,146.2196429,168.65625,-22.43660714,,,,,,
73.5,29.5,192.1046429,222.7386364,-30.63399351,,,,,,
74.5,29.5,275.3742857,291.2034091,-15.82912338,,,,,,
75.5,29.5,366.4364286,385.9784091,-19.54198052,,,,,,
76.5,29.5,507.8321429,540.6170455,-32.7849026,,,,,,
