,V1,V2,V3
141,1543.931454,1470.015581,73.91587302
142,1557.30217,1478.821137,78.48103357
143,1570.672886,1487.626692,83.04619411
144,1573.142884,1486.657804,86.48508008
145,1575.612883,1485.688917,89.92396605
146,1482.01788,1398.521136,83.49674471
147,1388.422878,1311.353355,77.06952336
148,1381.805735,1304.781132,77.02460295
149,1891.384675,1777.414476,113.9701994
150,1929.002177,1830.21781,98.78436636
151,1997.928964,1907.239476,90.68948732
152,2066.855751,1984.261143,82.59460827
153,2011.166106,1942.406699,68.75940772
154,1633.503597,1594.367248,39.13634862
155,1564.861453,1522.58669,42.27476232
156,1555.270739,1508.354468,46.91627092
157,1545.680026,1494.122247,51.55777952
158,1527.11074,1470.615024,56.49571621
159,1508.541454,1447.107801,61.43365289
160,1509.995383,1444.028357,65.96702577
161,1511.449311,1440.948913,70.50039865
162,1535.931813,1459.336135,76.59567761
163,1560.414315,1477.723358,82.69095657
164,1571.463599,1483.991137,87.4724619
165,1582.512883,1490.258915,92.25396724
166,1528.175381,1437.723359,90.4520228
167,1473.83788,1385.187802,88.65007836
168,1449.987167,1363.703356,86.28381107
169,1426.136454,1342.21891,83.91754379
170,1435.057167,1349.7678,85.28936783
171,1863.727892,1752.915588,110.8123042
172,1820.332892,1728.806698,91.52619426
173,1855.945035,1769.724474,86.22056039
174,1891.557177,1810.64225,80.91492651
175,1570.974311,1538.176692,32.79761908
176,1499.961451,1465.40669,34.55476161
177,1518.73931,1478.352245,40.38706478
178,1537.517168,1491.2978,46.21936795
179,1506.244311,1455.175577,51.0687341
180,1474.971455,1419.053355,55.91810026
181,1476.969312,1415.467799,61.50151227
182,1478.967168,1411.882244,67.08492428
183,1514.561456,1439.851134,74.71032166
184,1550.155743,1467.820024,82.33571903
185,1569.784313,1481.324469,88.45984373
186,1589.412882,1494.828914,94.58396842
187,1574.332883,1476.925582,97.40730089
188,1559.252883,1459.022249,100.2306334
189,1518.168599,1422.62558,95.5430192
190,1477.084315,1386.22891,90.85540504
191,1445.809313,1356.452244,89.35706898
192,1414.534311,1326.675578,87.85873292
193,1318.21431,1236.454465,81.7598442
194,1221.894308,1146.233353,75.66095547
195,1213.550738,1138.423352,75.12738591
196,1453.275028,1369.650024,83.62500316
197,1404.504313,1333.330023,71.17428979
198,1463.117527,1396.496134,66.62139263
199,1521.73074,1459.662245,62.06849548
200,1459.422168,1436.444467,22.97770091
201,1370.921809,1345.805021,25.1167883
202,1282.42145,1255.165574,27.2558757
203,1327.127164,1295.163353,31.96381145
204,1371.832878,1335.161131,36.67174721
205,1385.726808,1342.549466,43.17734277
206,1399.620738,1349.9378,49.68293834
207,1413.557524,1356.929467,56.62805748
208,1427.49431,1363.921134,63.57317662
209,1450.215025,1379.608355,70.60667066
210,1472.93574,1395.295576,77.6401647
211,1497.913597,1413.901689,84.01190735
212,1522.891453,1432.507803,90.38365
213,1521.354311,1427.935026,93.41928484
214,1519.817168,1423.362249,96.45491968
215,1487.000026,1393.049469,93.95055686
216,1454.182884,1362.73669,91.44619404
217,1417.094669,1327.209467,89.88520197
218,1380.006453,1291.682243,88.3242099
219,1232.247165,1152.792241,79.45492367
220,1084.487877,1013.902239,70.58563743
221,1112.04645,1040.150018,71.89643156
222,988.6757332,937.8533479,50.82238531
223,1070.290019,1023.267794,47.02222488
224,1151.904304,1108.68224,43.22206445
225,1276.857166,1261.942241,14.91492527
226,1170.869307,1153.433349,17.43595753
227,1064.881448,1044.924458,19.95698978
228,1135.515018,1111.97446,23.54055813
