x,y,Mean1,Mean2,Diff,,,,,,,
75.5,20.5,612.22875,715.4083333,-103.1795833,,,,,,,
76.5,20.5,703.63625,755.9875,-52.35125,,,,,,,
77.5,20.5,732.445,802.0395833,-69.59458333,,,,,,,
78.5,20.5,979.4825,1029.205208,-49.72270833,,,,,,,
79.5,20.5,1125.25875,1192.890625,-67.631875,,,,,,,
80.5,20.5,1181.645,1183.066667,-1.421666667,,,,,,,
81.5,20.5,1163.1875,1138.309375,24.878125,,,,,,,
82.5,20.5,1173.95125,1141.575,32.37625,,,,,,,
83.5,20.5,1116.48125,1126.596875,-10.115625,,,,,,,
84.5,20.5,1084.5475,1143.446875,-58.899375,,,,,,,
85.5,20.5,1111.91,1219.642708,-107.7327083,,,,,,,
86.5,20.5,1297.8075,1408.577083,-110.7695833,,,,,,,
69.5,21.5,492.85875,757.1322917,-264.2735417,,,,,,,
70.5,21.5,484.41875,735.1041667,-250.6854167,,,,,,,
71.5,21.5,656.67,745.5864583,-88.91645833,,,,,,,
72.5,21.5,772.30625,985.384375,-213.078125,,,,,,,
73.5,21.5,1077.1825,1273.135417,-195.9529167,,,,,,,
74.5,21.5,710.8875,866.6135417,-155.7260417,,,,,,,
75.5,21.5,590.6675,715.7041667,-125.0366667,,,,,,,
76.5,21.5,705.04625,805.2,-100.15375,,,,,,,
77.5,21.5,786.83875,908.6083333,-121.7695833,,,,,,,
78.5,21.5,967.6325,1046.51875,-78.88625,,,,,,,
79.5,21.5,1200.26625,1241.591667,-41.32541667,,,,,,,
80.5,21.5,1329.6425,1303.525,26.1175,,,,,,,
81.5,21.5,1170.735,1119.992708,50.74229167,,,,,,,
82.5,21.5,1244.51875,1177.307292,67.21145833,,,,,,,
83.5,21.5,1331.76375,1280.380208,51.38354167,,,,,,,
84.5,21.5,1203.5275,1214.223958,-10.69645833,,,,,,,
85.5,21.5,1068.06375,1105.8,-37.73625,,,,,,,
86.5,21.5,1223.5325,1312.394792,-88.86229167,,,,,,,
87.5,21.5,1405.05625,1596.6875,-191.63125,,,,,,,
88.5,21.5,1529.325,1720.73125,-191.40625,,,,,,,
