x,y,Mean1,Mean2,Diff,,,,,,,
90.5,26.5,2021.360039,1996.260041,25.09999721,,,,,,,
90.75,26.5,1981.245036,1964.210041,17.03499564,,,,,,,
91,26.5,1920.253786,1911.048036,9.205750489,,,,,,,
91.25,26.5,1859.262536,1857.886031,1.376505337,,,,,,,
91.5,26.5,1808.265031,1811.872031,-3.607000775,,,,,,,
91.75,26.5,1757.267525,1765.858032,-8.590506887,,,,,,,
92,26.5,1729.042527,1733.55903,-4.516502466,,,,,,,
92.25,26.5,1700.817529,1701.260027,-0.442498045,,,,,,,
92.5,26.5,1665.22503,1660.651027,4.574002919,,,,,,,
92.75,26.5,1629.632531,1620.042027,9.590503883,,,,,,,
93,26.5,1603.336279,1590.958026,12.37825251,,,,,,,
93.25,26.5,1577.040027,1561.874025,15.16600114,,,,,,,
93.5,26.5,1562.066276,1544.124025,17.94225073,,,,,,,
93.75,26.5,1547.092525,1526.374025,20.71850032,,,,,,,
94,26.5,1548.581276,1526.817026,21.76425004,,,,,,,
94.25,26.5,1550.070026,1527.260026,22.80999975,,,,,,,
94.5,26.5,1540.570025,1519.868027,20.70199791,,,,,,,
94.75,26.5,1531.070023,1512.476027,18.59399608,,,,,,,
95,26.5,1456.050022,1445.376025,10.67399657,,,,,,,
95.25,26.5,1381.03002,1378.276023,2.753997068,,,,,,,
88.25,26.75,2115.990034,1964.148039,151.8419951,,,,,,,
88.5,26.75,2216.240038,2081.858035,134.3820034,,,,,,,
88.75,26.75,2316.490042,2199.56803,116.9220117,,,,,,,
89,26.75,2317.780041,2225.286035,92.4940064,,,,,,,
89.25,26.75,2319.07004,2251.004039,68.06600109,,,,,,,
89.5,26.75,2268.407543,2213.214043,55.1935002,,,,,,,
89.75,26.75,2217.745046,2175.424047,42.32099932,,,,,,,
90,26.75,2145.662544,2113.628042,32.03450122,,,,,,,
90.25,26.75,2073.580041,2051.832038,21.74800312,,,,,,,
90.5,26.75,2031.200041,2018.590038,12.61000243,,,,,,,
90.75,26.75,1988.820041,1985.348039,3.472001743,,,,,,,
91,26.75,1923.24254,1926.346033,-3.103493452,,,,,,,
91.25,26.75,1857.665039,1867.344028,-9.678988647,,,,,,,
91.5,26.75,1811.555032,1824.83003,-13.27499739,,,,,,,
